iter	Passed	Remaining
845	1264	230
846	1266	228
847	1267	227
848	1269	225
849	1271	224
850	1272	222
851	1274	221
852	1275	219
853	1277	218
854	1278	216
855	1279	215
856	1281	213
857	1282	212
858	1284	210
859	1285	209
860	1287	207
861	1288	206
862	1290	204
863	1291	203
864	1292	201
865	1294	200
866	1296	198
867	1297	197
868	1298	195
869	1300	194
870	1302	192
871	1303	191
872	1304	189
873	1306	188
874	1307	186
875	1309	185
876	1310	183
877	1312	182
878	1313	180
879	1314	179
880	1316	177
881	1317	176
882	1319	174
883	1321	173
884	1322	171
885	1324	170
886	1325	168
887	1327	167
888	1328	165
889	1330	164
890	1331	162
891	1333	161
892	1334	159
893	1335	158
894	1337	156
895	1338	155
896	1340	153
897	1342	152
898	1343	150
899	1345	149
900	1346	147
901	1348	146
902	1349	144
903	1351	143
904	1352	141
905	1353	140
906	1355	138
907	1356	137
908	1358	135
909	1359	134
910	1360	132
911	1362	131
912	1363	129
913	1365	128
914	1366	126
915	1367	125
916	1369	123
917	1371	122
918	1372	120
919	1374	119
920	1376	118
921	1377	116
922	1378	115
923	1380	113
924	1382	112
925	1383	110
926	1385	109
927	1387	107
928	1388	106
929	1390	104
930	1391	103
931	1394	101
932	1395	100
933	1397	98
934	1398	97
935	1400	95
936	1401	94
937	1403	92
938	1404	91
939	1406	89
940	1407	88
941	1409	86
942	1410	85
943	1411	83
944	1413	82
945	1414	80
946	1416	79
947	1418	77
948	1419	76
949	1421	74
950	1422	73
951	1423	71
952	1425	70
953	1426	68
954	1428	67
955	1429	65
956	1431	64
957	1432	62
958	1434	61
959	1435	59
960	1436	58
961	1438	56
962	1439	55
963	1441	53
964	1443	52
965	1444	50
966	1446	49
967	1447	47
968	1449	46
969	1450	44
970	1452	43
971	1453	41
972	1455	40
973	1456	38
974	1458	37
975	1459	35
976	1460	34
977	1462	32
978	1463	31
979	1465	29
980	1467	28
981	1468	26
982	1470	25
983	1471	23
984	1473	22
985	1474	20
986	1475	19
987	1477	17
988	1478	16
989	1480	14
990	1481	13
991	1483	11
992	1484	10
993	1486	8
994	1487	7
995	1489	5
996	1491	4
997	1493	2
998	1494	1
999	1496	0
