url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
https://www.goodreads.com/book/show/30043.A_River_Runs_Through_it_and_Other_Stories,A River Runs Through it and Other Stories,Norman Maclean,1608,23496,4.18,217,1976,False,"['Fiction', 'Short Stories', 'Classics', 'Literature', 'Environment > Nature', 'Historical > Historical Fiction', 'Literary Fiction', 'Westerns', 'Novels']",,"['Missoula, Montana']"
https://www.goodreads.com/book/show/8652190-awakened,"Awakened (House of Night, #8)",P.C. Cast,3257,137162,3.98,290,2011,True,"['Young Adult', 'Paranormal > Vampires', 'Fantasy', 'Fantasy > Paranormal', 'Romance', 'Fantasy > Supernatural', 'Romance > Paranormal Romance', 'Fiction', 'Fantasy > Urban Fantasy']",['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011)'],"['Isle of Skye, Scotland', 'Tulsa, Oklahoma']"
https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,A Room of One's Own,Virginia Woolf,9804,142724,4.18,112,1929,False,"['Classics', 'Nonfiction', 'Feminism', 'Writing > Essays', 'Philosophy', 'Language > Writing', 'Literature', 'Womens', 'Literature > 20th Century']",,
https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down,Turtles All the Way Down,John Green,38587,396654,3.92,290,2017,False,"['Young Adult', 'Fiction', 'Contemporary', 'Health > Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Health > Mental Illness', 'Mystery']","['Lincoln Award Nominee (2020)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2017)', 'Alabama Author Award for Young Adult (2020)', 'Hea Noorteraamat (2018)']","['Indianapolis, Indiana', 'Indiana']"
https://www.goodreads.com/book/show/15760001-on-dublin-street,"On Dublin Street (On Dublin Street, #1)",Samantha Young,9575,179266,4.2,372,2012,True,"['Romance', 'New Adult', 'Contemporary', 'Romance > Contemporary Romance', 'Adult', 'Adult Fiction > Erotica', 'Fiction', 'Womens Fiction > Chick Lit', 'Romance > Erotic Romance']",['Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)'],"['Edinburgh, Scotland']"
https://www.goodreads.com/book/show/4965.Year_of_Wonders,Year of Wonders,Geraldine Brooks,10854,153075,3.99,304,2001,False,"['Historical > Historical Fiction', 'Fiction', 'Historical', 'European Literature > British Literature', 'Book Club', 'Adult', 'Adult Fiction', 'Audiobook', 'Novels']",['ALA Alex Award (2002)'],"['Eyam, Derbyshire, England']"
https://www.goodreads.com/book/show/17343.Till_We_Have_Faces,Till We Have Faces,C.S. Lewis,4773,63016,4.12,313,1956,False,"['Fiction', 'Fantasy', 'Classics', 'Fantasy > Mythology', 'Christian', 'Religion', 'Religion > Christianity', 'Literature', 'Christian Fiction']",['Tähtifantasia Award Nominee (2014)'],['Glome']
https://www.goodreads.com/book/show/21484.The_Winds_of_War,"The Winds of War (The Henry Family, #1)",Herman Wouk,1612,54885,4.35,896,1971,True,"['Historical > Historical Fiction', 'Fiction', 'War > World War II', 'War', 'Historical', 'Classics', 'War > Military Fiction', 'Audiobook', 'Novels']",,"['Berlin', 'Washington, D.C.', 'Hawaii', 'Germany', 'Italy', 'Atlantic Ocean', 'Pearl Harbor, Hawaii', 'Manila', 'Siena']"
https://www.goodreads.com/book/show/31338.Memnoch_the_Devil,"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,1701,76777,3.75,354,1995,True,"['Horror', 'Fantasy', 'Paranormal > Vampires', 'Fiction', 'Fantasy > Paranormal', 'Fantasy > Supernatural', 'Fantasy > Urban Fantasy', 'Gothic', 'Adult']",,
https://www.goodreads.com/book/show/10929.For_One_More_Day,For One More Day,Mitch Albom,8345,137218,4.08,197,2006,False,"['Fiction', 'Inspirational', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Fantasy', 'Family', 'Drama']",,"['Pepperville Beach, California']"
https://www.goodreads.com/book/show/7137775-rules-of-attraction,Rules of Attraction (Perfect Chemistry #2),Simone Elkeles,3915,88434,4.16,336,2010,True,"['Romance', 'Young Adult', 'Contemporary', 'Romance > Contemporary Romance', 'Young Adult > High School', 'Realistic Fiction', 'Womens Fiction > Chick Lit', 'Young Adult > Young Adult Romance', 'Fiction']","['RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2010)', 'Missouri Gateway Readers Award Nominee (2013)']","['Boulder, Colorado']"
https://www.goodreads.com/book/show/11557.Swan_Song,Swan Song,Robert R. McCammon,3923,58795,4.28,956,1987,False,"['Horror', 'Fiction', 'Apocalyptic > Post Apocalyptic', 'Fantasy', 'Science Fiction', 'Science Fiction > Dystopia', 'Science Fiction > Apocalyptic', 'Thriller', 'Audiobook']","['Bram Stoker Award for Best Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1988)', 'Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1994)']","['New York City, New York', 'West Virginia', 'Kansas', 'Pennsylvania', 'Salt Lake City, Utah', 'Idaho']"
https://www.goodreads.com/book/show/7747064-the-iron-daughter,"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,5799,129272,4.05,359,2010,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy > Paranormal', 'Fairies > Fae', 'Paranormal > Fairies', 'Fantasy > Magic', 'Fantasy > Urban Fantasy', 'Adventure']",,['Nevernever']
https://www.goodreads.com/book/show/5932.Twenty_Love_Poems_and_a_Song_of_Despair,Twenty Love Poems and a Song of Despair,Pablo Neruda,2788,58647,4.24,60,1924,False,"['Poetry', 'Classics', 'Romance', 'European Literature > Spanish Literature', 'Fiction', 'Literature', 'Cultural > Latin American', 'Literature > 20th Century', 'Literature > Latin American Literature']",,
https://www.goodreads.com/book/show/2722413-evernight,"Evernight (Evernight, #1)",Claudia Gray,3347,83122,3.64,327,2008,True,"['Young Adult', 'Paranormal > Vampires', 'Fantasy', 'Fantasy > Paranormal', 'Romance', 'Romance > Paranormal Romance', 'Fantasy > Supernatural', 'Fiction', 'Fantasy > Urban Fantasy']",,['The United States of America']
https://www.goodreads.com/book/show/49823970-more-than-love-a-husband-s-tale,"More Than Love, A Husband's Tale",Peter B. Forster,26,13537,4.3,469,2019,False,"['Drama', 'Fiction', 'Novels']",,
https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw,The Turn of the Screw,Henry James,9836,125388,3.42,121,1898,False,"['Classics', 'Horror', 'Fiction', 'Gothic', 'Mystery', 'Literature', 'Literature > 19th Century', 'Audiobook', 'Paranormal > Ghosts']",,"['London, England', 'Essex, England']"
https://www.goodreads.com/book/show/187020.Empire_Falls,Empire Falls,Richard Russo,4648,120178,3.91,483,2001,False,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Literature', 'Book Club', 'Adult Fiction', 'Adult', 'Literature > American']","['Pulitzer Prize for Fiction (2002)', 'Ambassador Book Award for Fiction (2002)']",['Maine']
https://www.goodreads.com/book/show/40490167-maus,"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire (Maus, #1)",Art Spiegelman,6532,273114,4.33,159,1986,True,"['Sequential Art > Graphic Novels', 'Sequential Art > Comics', 'History', 'Nonfiction', 'Autobiography > Memoir', 'World War II > Holocaust', 'Biography', 'Historical', 'War']","['Pulitzer Prize for Letters Award (1992)', ""Prix du Festival d'Angoulême for Alfred du meilleur album étranger (1988)"", 'Urhunden Prize for Foreign Album (1988)', 'National Book Critics Circle Award Nominee for Biography/Autobiography (1986)']","['New York City, New York', 'Poland', 'Auschwitz-Birkenau']"
https://www.goodreads.com/book/show/32499.The_Pelican_Brief,The Pelican Brief,John Grisham,2866,402993,4.02,400,1992,False,"['Fiction', 'Mystery', 'Thriller', 'Mystery > Crime', 'Suspense', 'Thriller > Legal Thriller', 'Thriller > Mystery Thriller', 'Drama', 'Novels']",['Evergreen Teen Book Award (1995)'],"['New Orleans, Louisiana', 'Washington, D.C.']"
https://www.goodreads.com/book/show/53639.Zorba_the_Greek,Zorba the Greek,Nikos Kazantzakis,4513,41922,4.07,335,1946,False,"['Fiction', 'Classics', 'Philosophy', 'Novels', 'Cultural > Greece', 'Literature', 'Historical > Historical Fiction', 'Literature > 20th Century', 'Literary Fiction']",['Prix du Meilleur Livre Étranger for Roman (1954)'],['Crete']
https://www.goodreads.com/book/show/126232.Jaws,Jaws (Jaws #1),Peter Benchley,4222,150329,3.96,320,1974,True,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Suspense', 'Adventure', 'Mystery', 'Novels', 'Drama']",,"['Amity', 'New York (State)']"
https://www.goodreads.com/book/show/2355575.Cry_Wolf,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,4144,96250,4.11,294,2008,True,"['Fantasy > Urban Fantasy', 'Fantasy', 'Fantasy > Paranormal', 'Romance', 'Romance > Paranormal Romance', 'Shapeshifters > Werewolves', 'Paranormal > Shapeshifters', 'Fiction', 'Fantasy > Supernatural']","['P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) (2008)', 'DABWAHA Romance Tournament for Best Paranormal/Urban Fantasy/SF Romance (2009)']","['Montana', 'Aspen Creek, Montana']"
